Procedure Type,PROCEDURE NAME,Procedure End Goal,Procedure File Number,Step Number,EPRL,TEXT
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,1,Action (What),Stow monitors against the wall
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,2,Action (What),Stow the keyboards against the wall
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,3,Action (What),Remove the seat cushion
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,4,Action (What),Fold the chair backs forward
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,5,Action (What),Detach crew hygiene kit
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,5,Action (Where),from the aft transfer port hatches
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,6,Action (What),Stow the crew hygiene kits
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,6,Action (Where),in Lockers SA-1 and PA-1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,7,Action (What),Remove hatch cargo nets
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,7,Action (Where),from lockers SA-1 and PA-1
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,8,Action (How),to 3 of the 4 D-rings
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,8,Action (What),Secure hatch cargo nets 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,8,Action (Where),at the starboard and port hatch openings
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,9,Action (How),to 3 of the 4 D-rings
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,9,Action (What),Remove IVA Common Tool Kit 
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,9,Action (Where),from PM-5
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,10,Action (How),to 3 of the 4 D-rings
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,10,Action (What),Temp Stow IVA Common Tool Kit
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,10,Action (Where),behind the Port Hatch Opening
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,11,Action (How),to 3 of the 4 D-rings
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,11,Action (What),"PRESS ""Enable"" "
Manual Manipulation of Items,Reconfigure HAL for EVA,Configure the habitable airlock for EVA by removing EVA related items from PRS drawers and moving them to their designated location on the suit or in the habitable area. Non-EVA related items that cannot go to vacuum and are not essential for daily operations will replace the EVA items in the PRS drawers.,HAL_1_0.pdf,11,Action (Where),on PRS switch panel
