FILE,TEXT,EPRL
HAL_2_3.pdf,As Required,Trigger (What)
HAL_2_3.pdf,As required,Trigger (What)
HAL_2_3.pdf,As required,Trigger (What)
HAL_2_3.pdf,As required,Trigger (What)
HAL_2_3.pdf,As required,Trigger (What)
HAL_2_3.pdf,As required,Trigger (What)
HAL_5_111.pdf,If desired roll is different than -27,Trigger (What)
HAL_5_111.pdf,if desired pitch is different than -84,Trigger (What)
HAL_5_111.pdf,if desired Yaw different than +129,Trigger (What)
HAL_5_111.pdf,If the door is open,Trigger (What)
HAL_5_111.pdf,when beginning this observation,Trigger (What)
HAL_5_111.pdf,When beginning this observation,Trigger (What)
HAL_5_111.pdf,when beginning this observation,Trigger (What)
HAL_5_111.pdf,when beginning this observation,Trigger (What)
HAL_5_101.pdf,At the desired rock location,Trigger (What)
HAL_5_111.pdf,"""Cameras & Lights""",Trigger (How)
HAL_5_111.pdf,"""Telescope Control""",Trigger (How)
HAL_5_111.pdf,"""Cameras & Lights""",Trigger (How)
HAL_5_111.pdf,"""Camera Select""",Trigger (How)
HAL_5_111.pdf,"""Stack""",Trigger (How)
HAL_5_111.pdf,"""Time to impact""",Trigger (How)
HAL_5_111.pdf,Desired roll,Trigger (How)
HAL_5_111.pdf,Desired Pitch,Trigger (How)
HAL_5_111.pdf,desired yaw,Trigger (How)
HAL_5_111.pdf,"""↑""",Trigger (How)
HAL_5_111.pdf,"""PM GN&C""",Trigger (How)
HAL_5_111.pdf,"""Select Control Effectors""",Trigger (How)
HAL_5_111.pdf,"""RCS""",Trigger (How)
HAL_5_111.pdf,"""Back""",Trigger (How)
HAL_5_111.pdf,"""Select Hand Controller""",Trigger (How)
HAL_5_111.pdf,"""Rotate To""",Trigger (How)
HAL_5_111.pdf,"""Modify Roll"", or ""Modify Pitch"", or ""Modify
Yaw""",Trigger (How)
HAL_5_111.pdf,"""Clear Field""",Trigger (How)
HAL_5_111.pdf,"""+/-""",Trigger (How)
HAL_5_111.pdf,"""Apply""",Trigger (How)
HAL_5_111.pdf,"""Position/Attitude""",Trigger (How)
HAL_5_111.pdf,"""Robotics and Doors""",Trigger (How)
HAL_5_111.pdf,"""Doors""",Trigger (How)
HAL_5_111.pdf,"""Robotics""",Trigger (How)
HAL_5_111.pdf,"""Joint Auto Mode""",Trigger (How)
HAL_5_111.pdf,"""Stow SAL""",Trigger (How)
HAL_5_111.pdf,"""Joint Auto Proceed""",Trigger (How)
HAL_5_111.pdf,"""↑""",Trigger (How)
HAL_5_111.pdf,"""↑""",Trigger (How)
HAL_5_111.pdf,"""Cameras & Lights""",Trigger (How)
HAL_5_111.pdf,"""Light Control""",Trigger (How)
HAL_5_111.pdf,"""Ideal Lighting""",Trigger (How)
HAL_5_111.pdf,"""Select Telescope Control""",Trigger (How)
HAL_5_111.pdf,"""Manual""",Trigger (How)
HAL_5_111.pdf,"""Grab HC Focus""",Trigger (How)
HAL_5_111.pdf,"""Hat""",Trigger (How)
HAL_5_111.pdf,on bottom row,Trigger (How)
HAL_5_111.pdf,"""Set Zoom""",Trigger (How)
HAL_5_111.pdf,"""Clear Field""",Trigger (How)
HAL_5_111.pdf,"""1""",Trigger (How)
HAL_5_111.pdf,"""Apply""",Trigger (How)
HAL_5_111.pdf,"""PrtSc""",Trigger (How)
HAL_5_111.pdf,"""Ok""",Trigger (How)
HAL_5_111.pdf,"""Save""",Trigger (How)
HAL_5_111.pdf,"""↑""",Trigger (How)
HAL_5_111.pdf,"""Cameras & Lights""",Trigger (How)
HAL_5_111.pdf,"""Telescope Control""",Trigger (How)
