Procedure,Airplane_Model,Date,Time,Index,start,end,label,label2,text
747 Air Conditioning Packs,747,44728,0.669402777777778,1,364,383,Trigger (What),Trigger,after engine start:
747 Air Conditioning Packs,747,44728,0.669402777777778,2,384,429,Action (What),Action,left and right isolation valve switches - off
747 Air Conditioning Packs,747,44728,0.669402777777778,3,384,423,Action (Where),Action,left and right isolation valve switches
747 Air Conditioning Packs,747,44728,0.669402777777778,4,430,473,Action (What),Action,leave a pu running to supply air to pack 2
747 Air Conditioning Packs,747,44728,0.669402777777778,5,474,489,Trigger (What),Trigger,before takeoff:
747 Air Conditioning Packs,747,44728,0.669402777777778,6,490,527,Action (What),Action,packs 1 and 3 control selectors - off
747 Air Conditioning Packs,747,44728,0.669402777777778,7,490,521,Action (Where),Action,packs 1 and 3 control selectors
747 Air Conditioning Packs,747,44728,0.669402777777778,8,528,542,Trigger (What),Trigger,after takeoff:
747 Air Conditioning Packs,747,44728,0.669402777777778,9,543,582,Action (What),Action,pack control selector  one only  - norm
747 Air Conditioning Packs,747,44728,0.669402777777778,10,543,564,Action (Where),Action,pack control selector
747 Air Conditioning Packs,747,44728,0.669402777777778,11,583,637,Trigger (What),Trigger,a fter engine thrust is reduced from takeoff to climb
747 Air Conditioning Packs,747,44728,0.669402777777778,12,638,681,Action (What),Action,position one packcontrol selector to norm
747 Air Conditioning Packs,747,44728,0.669402777777778,13,647,672,Action (Where),Action,one packcontrol selector
747 Air Conditioning Packs,747,44728,0.669402777777778,14,682,727,Action (What),Action,pack control selector  remaining pack  - norm
747 Air Conditioning Packs,747,44728,0.669402777777778,15,682,703,Action (Where),Action,pack control selector
747 Air Conditioning Packs,747,44728,0.669402777777778,16,728,767,Trigger (What),Trigger,w then cabin pressurization stabilizes
747 Air Conditioning Packs,747,44728,0.669402777777778,17,768,817,Action (What),Action,position remaining pack controlselector to norm
747 Air Conditioning Packs,747,44728,0.669402777777778,18,787,808,Action (Where),Action,pack controlselector
747 Air Conditioning Packs,747,44728,0.669402777777778,19,818,862,Action (What),Action,left and right isolation valve switches - on
747 Air Conditioning Packs,747,44728,0.669402777777778,20,818,857,Action (Where),Action,left and right isolation valve switches
747 Air Conditioning Packs,747,44728,0.669402777777778,21,863,881,Action (What),Action,apu selector - off
747 Air Conditioning Packs,747,44728,0.669402777777778,22,863,875,Action (Where),Action,apu selector
747 Air Conditioning Packs,747,44728,0.669402777777778,24,915,962,Trigger (What),Trigger,before connecting ground air conditioning cart:
747 Air Conditioning Packs,747,44728,0.669402777777778,25,963,991,Action (What),Action,pack control selectors - off
747 Air Conditioning Packs,747,44728,0.669402777777778,26,963,985,Action (Where),Action,pack control selectors
747 Air Conditioning Packs,747,44728,0.669402777777778,27,1038,1071,Action (What),Action,recirculation fans switches - off
747 Air Conditioning Packs,747,44728,0.669402777777778,28,1038,1065,Action (Where),Action,recirculation fans switches
747 Air Conditioning Packs,747,44728,0.669402777777778,29,1118,1168,Trigger (What),Trigger,a fter disconnecting ground air conditioning cart:
747 Air Conditioning Packs,747,44728,0.669402777777778,30,1169,1198,Action (What),Action,pack control selectors - auto
747 Air Conditioning Packs,747,44728,0.669402777777778,31,1169,1191,Action (Where),Action,pack control selectors
747 Air Conditioning Packs,747,44728,0.669402777777778,32,1199,1231,Action (What),Action,recirculation fans switches - on
747 Air Conditioning Packs,747,44728,0.669402777777778,33,1199,1226,Action (Where),Action,recirculation fans switches
747 Air Conditioning Packs,747,44728,0.669402777777778,35,1433,1505,Decide (What),Decide,if cabin temperatures stabilize above target temperatures during cruise:
747 Air Conditioning Packs,747,44728,0.669402777777778,36,1436,1454,Decide (How),Decide,cabin temperatures
747 Air Conditioning Packs,747,44728,0.669402777777778,37,1506,1527,Action (What),Action,high flow switch - on
747 Air Conditioning Packs,747,44728,0.669402777777778,38,1506,1522,Action (Where),Action,high flow switch
747 Air Conditioning Packs,747,44728,0.669402777777778,39,1584,1634,Decide (What),Decide,w then temperatures return to target temperatures:
747 Air Conditioning Packs,747,44728,0.669402777777778,40,1591,1603,Decide (How),Decide,temperatures
747 Air Conditioning Packs,747,44728,0.669402777777778,41,1635,1651,Action (Where),Action,high flow switch
747 Air Conditioning Packs,747,44728,0.669402777777778,42,1635,1657,Action (What),Action,high flow switch - off
747 Air Conditioning Packs,747,44728,0.669402777777778,44,1833,1848,Trigger (What),Trigger,before takeoff:
747 Air Conditioning Packs,747,44728,0.669402777777778,45,1849,1877,Action (What),Action,pack control selectors - off
747 Air Conditioning Packs,747,44728,0.669402777777778,46,1849,1871,Action (Where),Action,pack control selectors
747 Air Conditioning Packs,747,44728,0.669402777777778,47,1878,1892,Trigger (What),Trigger,after takeoff:
747 Air Conditioning Packs,747,44728,0.669402777777778,48,1893,1932,Action (What),Action,pack control selector  one only  - norm
747 Air Conditioning Packs,747,44728,0.669402777777778,49,1893,1914,Action (Where),Action,pack control selector
747 Air Conditioning Packs,747,44728,0.669402777777778,50,1933,2042,Trigger (What),Trigger,a fter engine thrust is reduced from takeoff to climb and prior toreaching 3000 feet above field elevation
747 Air Conditioning Packs,747,44728,0.669402777777778,51,2043,2086,Action (What),Action,position one pack controlselector to norm
747 Air Conditioning Packs,747,44728,0.669402777777778,52,2052,2077,Action (Where),Action,one pack controlselector
747 Air Conditioning Packs,747,44728,0.669402777777778,53,2087,2134,Action (What),Action,pack control selectors  remaining packs  - norm
747 Air Conditioning Packs,747,44728,0.669402777777778,54,2087,2109,Action (Where),Action,pack control selectors
747 Air Conditioning Packs,747,44728,0.669402777777778,55,2135,2172,Trigger (What),Trigger,when cabin pressurization stabilizes
747 Air Conditioning Packs,747,44728,0.669402777777778,56,2173,2223,Action (What),Action,position remaining pack controlselectors to norm
747 Air Conditioning Packs,747,44728,0.669402777777778,57,2182,2214,Action (Where),Action,remaining pack controlselectors
Takeoff Procedure Manual 747,747,44722,0.879041666666667,59,317,329,Actor,Actor,pilot flying
Takeoff Procedure Manual 747,747,44722,0.879041666666667,60,330,357,Action (What),Action,align airplane with runway
Takeoff Procedure Manual 747,747,44722,0.879041666666667,61,358,404,Action (What),Action,a dvance thrust levers toapproximately 70% n1
Takeoff Procedure Manual 747,747,44722,0.879041666666667,62,367,380,Action (Where),Action,thrust levers
Takeoff Procedure Manual 747,747,44722,0.879041666666667,63,409,436,Action (What),Action,allowengines to stabilize
Takeoff Procedure Manual 747,747,44722,0.879041666666667,64,437,498,Action (What),Action,push to/ga switch to advance thrustlevers to takeoff thrust
Takeoff Procedure Manual 747,747,44722,0.879041666666667,65,437,441,Action (How),Action,push
